Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,80,0.01,0.9099999999999999,0.4941828953411342
75% Corpus,80,0.01,symmetric,0.45154977433680765
75% Corpus,80,0.31,0.01,0.3333873647826186
75% Corpus,80,0.31,0.31,0.48407841183516476
75% Corpus,80,0.31,0.61,0.44415585317453504
75% Corpus,80,0.31,0.9099999999999999,0.44808390878482063
75% Corpus,80,0.31,symmetric,0.3322645087624049
75% Corpus,80,0.61,0.01,0.3079903176759472
75% Corpus,80,0.61,0.31,0.4011858971760153
75% Corpus,80,0.61,0.61,0.4422302401212085
75% Corpus,80,0.61,0.9099999999999999,0.4561078704721503
75% Corpus,80,0.61,symmetric,0.3093703100648134
75% Corpus,80,0.9099999999999999,0.01,0.298089686769308
75% Corpus,80,0.9099999999999999,0.31,0.40511632197737
75% Corpus,80,0.9099999999999999,0.61,0.4490197379367946
75% Corpus,80,0.9099999999999999,0.9099999999999999,0.4353316182270003
75% Corpus,80,0.9099999999999999,symmetric,0.2988299779803648
75% Corpus,80,symmetric,0.01,0.461225916586641
75% Corpus,80,symmetric,0.31,0.4772593176440374
75% Corpus,80,symmetric,0.61,0.4878060472342682
75% Corpus,80,symmetric,0.9099999999999999,0.49215936394418514
75% Corpus,80,symmetric,symmetric,0.4759201942157877
75% Corpus,80,asymmetric,0.01,0.47616549701085675
75% Corpus,80,asymmetric,0.31,0.4711416425095482
75% Corpus,80,asymmetric,0.61,0.47051953560694193
75% Corpus,80,asymmetric,0.9099999999999999,0.465425781623048
75% Corpus,80,asymmetric,symmetric,0.4826069971264061
75% Corpus,90,0.01,0.01,0.45747832142769485
75% Corpus,90,0.01,0.31,0.4571369378981932
75% Corpus,90,0.01,0.61,0.49171952643732875
75% Corpus,90,0.01,0.9099999999999999,0.49440793444848546
75% Corpus,90,0.01,symmetric,0.45268971952751536
75% Corpus,90,0.31,0.01,0.3423750898625393
75% Corpus,90,0.31,0.31,0.4264214628268009
75% Corpus,90,0.31,0.61,0.4429913323845031
75% Corpus,90,0.31,0.9099999999999999,0.4337803028313134
75% Corpus,90,0.31,symmetric,0.34154145215576587
75% Corpus,90,0.61,0.01,0.3070249981020157
75% Corpus,90,0.61,0.31,0.406687435731292
75% Corpus,90,0.61,0.61,0.4426376511874312
75% Corpus,90,0.61,0.9099999999999999,0.4479416710918032
75% Corpus,90,0.61,symmetric,0.30694672381609467
75% Corpus,90,0.9099999999999999,0.01,0.29793145705895274
75% Corpus,90,0.9099999999999999,0.31,0.40857448682524894
75% Corpus,90,0.9099999999999999,0.61,0.4429416049113371
75% Corpus,90,0.9099999999999999,0.9099999999999999,0.4480839087848207
75% Corpus,90,0.9099999999999999,symmetric,0.29558259116663665
75% Corpus,90,symmetric,0.01,0.45474210257640796
75% Corpus,90,symmetric,0.31,0.4499101887208709
75% Corpus,90,symmetric,0.61,0.46087428125473173
75% Corpus,90,symmetric,0.9099999999999999,0.5070099529895494
75% Corpus,90,symmetric,symmetric,0.45813865251772945
75% Corpus,90,asymmetric,0.01,0.45362941348493957
75% Corpus,90,asymmetric,0.31,0.4676682174529429
75% Corpus,90,asymmetric,0.61,0.4498269435489685
75% Corpus,90,asymmetric,0.9099999999999999,0.4593468377803643
75% Corpus,90,asymmetric,symmetric,0.4530211664212184
75% Corpus,100,0.01,0.01,0.4511955929317024
75% Corpus,100,0.01,0.31,0.45272916200130703
75% Corpus,100,0.01,0.61,0.6050895897604236
75% Corpus,100,0.01,0.9099999999999999,0.640702988111612
75% Corpus,100,0.01,symmetric,0.4550355413825767
75% Corpus,100,0.31,0.01,0.35098838790692033
75% Corpus,100,0.31,0.31,0.5379475788591133
75% Corpus,100,0.31,0.61,0.4450004106210282
75% Corpus,100,0.31,0.9099999999999999,0.44808390878482074
75% Corpus,100,0.31,symmetric,0.3484788813619758
75% Corpus,100,0.61,0.01,0.3053617287417132
75% Corpus,100,0.61,0.31,0.4080289169384874
75% Corpus,100,0.61,0.61,0.4499142914373306
75% Corpus,100,0.61,0.9099999999999999,0.43959023299376004
75% Corpus,100,0.61,symmetric,0.3074437456446292
75% Corpus,100,0.9099999999999999,0.01,0.29649476831449717
75% Corpus,100,0.9099999999999999,0.31,0.4102997918624386
75% Corpus,100,0.9099999999999999,0.61,0.4451304870368318
75% Corpus,100,0.9099999999999999,0.9099999999999999,0.43941088857786176
75% Corpus,100,0.9099999999999999,symmetric,0.29646487752456896
75% Corpus,100,symmetric,0.01,0.4515360301419758
75% Corpus,100,symmetric,0.31,0.4567434726697461
75% Corpus,100,symmetric,0.61,0.4703212207766525
75% Corpus,100,symmetric,0.9099999999999999,0.6229602433898894
75% Corpus,100,symmetric,symmetric,0.45128463816988357
75% Corpus,100,asymmetric,0.01,0.4535442117826989
75% Corpus,100,asymmetric,0.31,0.45520736880328416
75% Corpus,100,asymmetric,0.61,0.4574523671592409
75% Corpus,100,asymmetric,0.9099999999999999,0.4624789855460268
75% Corpus,100,asymmetric,symmetric,0.45287286548681477
75% Corpus,110,0.01,0.01,0.45680205996198514
75% Corpus,110,0.01,0.31,0.4540845242681118
75% Corpus,110,0.01,0.61,0.4677038150689551
75% Corpus,110,0.01,0.9099999999999999,0.5792544687012785
75% Corpus,110,0.01,symmetric,0.45680205996198514
75% Corpus,110,0.31,0.01,0.35911629037333087
75% Corpus,110,0.31,0.31,0.5182111773580396
75% Corpus,110,0.31,0.61,0.44479786424625994
75% Corpus,110,0.31,0.9099999999999999,0.4485975455876876
75% Corpus,110,0.31,symmetric,0.35825596680770005
75% Corpus,110,0.61,0.01,0.31136917619310606
75% Corpus,110,0.61,0.31,0.41180365663763163
75% Corpus,110,0.61,0.61,0.44239194381177754
75% Corpus,110,0.61,0.9099999999999999,0.44808390878482074
75% Corpus,110,0.61,symmetric,0.31353828278395124
75% Corpus,110,0.9099999999999999,0.01,0.3034830165023372
75% Corpus,110,0.9099999999999999,0.31,0.41415805346385787
75% Corpus,110,0.9099999999999999,0.61,0.4435408669732617
75% Corpus,110,0.9099999999999999,0.9099999999999999,0.44808390878482074
75% Corpus,110,0.9099999999999999,symmetric,0.3024857013685945
75% Corpus,110,symmetric,0.01,0.45680205996198514
75% Corpus,110,symmetric,0.31,0.45576549022162516
75% Corpus,110,symmetric,0.61,0.47083837656877386
75% Corpus,110,symmetric,0.9099999999999999,0.5756706687967778
75% Corpus,110,symmetric,symmetric,0.45680205996198514
75% Corpus,110,asymmetric,0.01,0.45491227228773906
75% Corpus,110,asymmetric,0.31,0.45264407828155795
75% Corpus,110,asymmetric,0.61,0.4620765110475143
75% Corpus,110,asymmetric,0.9099999999999999,0.4604552854029097
75% Corpus,110,asymmetric,symmetric,0.4553386578993313
75% Corpus,120,0.01,0.01,0.7571453448437478
75% Corpus,120,0.01,0.31,0.7571453448437478
75% Corpus,120,0.01,0.61,0.4884079899581838
75% Corpus,120,0.01,0.9099999999999999,0.5116855497212782
75% Corpus,120,0.01,symmetric,0.7571453448437478
75% Corpus,120,0.31,0.01,0.36746459650640056
75% Corpus,120,0.31,0.31,0.4132056026084763
75% Corpus,120,0.31,0.61,0.4422097460414046
75% Corpus,120,0.31,0.9099999999999999,0.4480839087848205
75% Corpus,120,0.31,symmetric,0.36605684507070335
75% Corpus,120,0.61,0.01,0.3198577512639608
75% Corpus,120,0.61,0.31,0.41495727434797575
75% Corpus,120,0.61,0.61,0.44599837437898177
75% Corpus,120,0.61,0.9099999999999999,0.4480839087848205
75% Corpus,120,0.61,symmetric,0.31918634546267366
75% Corpus,120,0.9099999999999999,0.01,0.30567726712479043
75% Corpus,120,0.9099999999999999,0.31,0.4157565052835372
75% Corpus,120,0.9099999999999999,0.61,0.4455055151386014
75% Corpus,120,0.9099999999999999,0.9099999999999999,0.44485378923775154
75% Corpus,120,0.9099999999999999,symmetric,0.30491213954666857
75% Corpus,120,symmetric,0.01,0.7571453448437478
75% Corpus,120,symmetric,0.31,0.7571453448437478
75% Corpus,120,symmetric,0.61,0.4758237591245435
75% Corpus,120,symmetric,0.9099999999999999,0.5168013646302264
75% Corpus,120,symmetric,symmetric,0.7571453448437478
75% Corpus,120,asymmetric,0.01,0.4582738582763298
75% Corpus,120,asymmetric,0.31,0.4593222930190363
75% Corpus,120,asymmetric,0.61,0.46272645587847594
75% Corpus,120,asymmetric,0.9099999999999999,0.46294869651612386
75% Corpus,120,asymmetric,symmetric,0.4611501409455459
75% Corpus,130,0.01,0.01,0.7571453448437478
75% Corpus,130,0.01,0.31,0.7571453448437478
75% Corpus,130,0.01,0.61,0.47516617548277107
75% Corpus,130,0.01,0.9099999999999999,0.48807705814995905
75% Corpus,130,0.01,symmetric,0.7571453448437478
75% Corpus,130,0.31,0.01,0.3678734353064217
75% Corpus,130,0.31,0.31,0.4199495199283175
75% Corpus,130,0.31,0.61,0.44304150496412287
75% Corpus,130,0.31,0.9099999999999999,0.4457198961175137
75% Corpus,130,0.31,symmetric,0.3714338233877214
75% Corpus,130,0.61,0.01,0.32331136467879285
75% Corpus,130,0.61,0.31,0.4077387920950429
75% Corpus,130,0.61,0.61,0.44081417663071565
75% Corpus,130,0.61,0.9099999999999999,0.4480839087848207
75% Corpus,130,0.61,symmetric,0.3252546962004873
75% Corpus,130,0.9099999999999999,0.01,0.3125609869568595
75% Corpus,130,0.9099999999999999,0.31,0.4196333842663925
75% Corpus,130,0.9099999999999999,0.61,0.4421058529063484
75% Corpus,130,0.9099999999999999,0.9099999999999999,0.44286955071534767
75% Corpus,130,0.9099999999999999,symmetric,0.3118705761496487
75% Corpus,130,symmetric,0.01,0.7571453448437478
75% Corpus,130,symmetric,0.31,0.7571453448437478
75% Corpus,130,symmetric,0.61,0.47261438875632034
75% Corpus,130,symmetric,0.9099999999999999,0.4696030979229188
75% Corpus,130,symmetric,symmetric,0.7571453448437478
75% Corpus,130,asymmetric,0.01,0.45662261752524486
75% Corpus,130,asymmetric,0.31,0.4553912363643784
75% Corpus,130,asymmetric,0.61,0.4631234499387009
75% Corpus,130,asymmetric,0.9099999999999999,0.4760604456300336
75% Corpus,130,asymmetric,symmetric,0.45662261752524486
75% Corpus,140,0.01,0.01,0.7571453448437478
75% Corpus,140,0.01,0.31,0.7571453448437478
75% Corpus,140,0.01,0.61,0.7571453448437478
75% Corpus,140,0.01,0.9099999999999999,0.5583404429618566
75% Corpus,140,0.01,symmetric,0.7571453448437478
75% Corpus,140,0.31,0.01,0.37400234271606386
75% Corpus,140,0.31,0.31,0.42248488556360836
75% Corpus,140,0.31,0.61,0.4459114382796342
75% Corpus,140,0.31,0.9099999999999999,0.4480839087848208
75% Corpus,140,0.31,symmetric,0.37420768043003044
75% Corpus,140,0.61,0.01,0.3292644655290438
75% Corpus,140,0.61,0.31,0.4245604769624545
75% Corpus,140,0.61,0.61,0.4408203285871161
75% Corpus,140,0.61,0.9099999999999999,0.4457198961175137
75% Corpus,140,0.61,symmetric,0.32856224901347925
75% Corpus,140,0.9099999999999999,0.01,0.3146239827198726
75% Corpus,140,0.9099999999999999,0.31,0.4245848987826418
75% Corpus,140,0.9099999999999999,0.61,0.43965599956536094
75% Corpus,140,0.9099999999999999,0.9099999999999999,0.4407332544554533
75% Corpus,140,0.9099999999999999,symmetric,0.31444065129115883
75% Corpus,140,symmetric,0.01,0.7571453448437478
75% Corpus,140,symmetric,0.31,0.7571453448437478
75% Corpus,140,symmetric,0.61,0.7571453448437478
75% Corpus,140,symmetric,0.9099999999999999,0.4754545412827091
75% Corpus,140,symmetric,symmetric,0.7571453448437478
75% Corpus,140,asymmetric,0.01,0.7571453448437478
75% Corpus,140,asymmetric,0.31,0.7571453448437478
75% Corpus,140,asymmetric,0.61,0.47043181565824
75% Corpus,140,asymmetric,0.9099999999999999,0.47649787631472984
75% Corpus,140,asymmetric,symmetric,0.7571453448437478
100% Corpus,50,0.01,0.01,0.4717236779233269
100% Corpus,50,0.01,0.31,0.40525584688462873
100% Corpus,50,0.01,0.61,0.38698256711152196
100% Corpus,50,0.01,0.9099999999999999,0.3899166899344743
100% Corpus,50,0.01,symmetric,0.46338154945694443
100% Corpus,50,0.31,0.01,0.36070541603984446
100% Corpus,50,0.31,0.31,0.3972487517315685
100% Corpus,50,0.31,0.61,0.6160357213357817
100% Corpus,50,0.31,0.9099999999999999,0.6724588936675243
100% Corpus,50,0.31,symmetric,0.4000525274967026
100% Corpus,50,0.61,0.01,0.28020947285707964
100% Corpus,50,0.61,0.31,0.36732256534872093
100% Corpus,50,0.61,0.61,0.4337159415793142
100% Corpus,50,0.61,0.9099999999999999,0.4339823941893555
100% Corpus,50,0.61,symmetric,0.27884834282037446
100% Corpus,50,0.9099999999999999,0.01,0.27653531977838336
100% Corpus,50,0.9099999999999999,0.31,0.39149718538669404
100% Corpus,50,0.9099999999999999,0.61,0.4328667619293678
100% Corpus,50,0.9099999999999999,0.9099999999999999,0.4295182774344847
100% Corpus,50,0.9099999999999999,symmetric,0.27504642694745185
100% Corpus,50,symmetric,0.01,0.49843151392398055
100% Corpus,50,symmetric,0.31,0.41802716578291255
100% Corpus,50,symmetric,0.61,0.3799844477457194
100% Corpus,50,symmetric,0.9099999999999999,0.38078524733714375
100% Corpus,50,symmetric,symmetric,0.49339286695501555
100% Corpus,50,asymmetric,0.01,0.4803404833366239
100% Corpus,50,asymmetric,0.31,0.42481312766878504
100% Corpus,50,asymmetric,0.61,0.45367036443696884
100% Corpus,50,asymmetric,0.9099999999999999,0.46470505264453793
100% Corpus,50,asymmetric,symmetric,0.4754047031070563
100% Corpus,60,0.01,0.01,0.4065181695647976
100% Corpus,60,0.01,0.31,0.3957069871390883
100% Corpus,60,0.01,0.61,0.3663165092058516
100% Corpus,60,0.01,0.9099999999999999,0.3433449631629895
100% Corpus,60,0.01,symmetric,0.41921680563560854
100% Corpus,60,0.31,0.01,0.3412264843490661
100% Corpus,60,0.31,0.31,0.4959456613200225
100% Corpus,60,0.31,0.61,0.645466556144098
100% Corpus,60,0.31,0.9099999999999999,0.4276580718843995
100% Corpus,60,0.31,symmetric,0.37376019990574694
100% Corpus,60,0.61,0.01,0.3034567950838881
100% Corpus,60,0.61,0.31,0.37335647769053354
100% Corpus,60,0.61,0.61,0.43328627984088475
100% Corpus,60,0.61,0.9099999999999999,0.42209315672820685
100% Corpus,60,0.61,symmetric,0.30200616222862814
100% Corpus,60,0.9099999999999999,0.01,0.290154448688684
100% Corpus,60,0.9099999999999999,0.31,0.39582266795242266
100% Corpus,60,0.9099999999999999,0.61,0.43319395335410393
100% Corpus,60,0.9099999999999999,0.9099999999999999,0.4214474436771542
100% Corpus,60,0.9099999999999999,symmetric,0.29294562805325547
100% Corpus,60,symmetric,0.01,0.4068382517444784
100% Corpus,60,symmetric,0.31,0.3948307743764887
100% Corpus,60,symmetric,0.61,0.3674321229695201
100% Corpus,60,symmetric,0.9099999999999999,0.3380009822593743
100% Corpus,60,symmetric,symmetric,0.4192735466044627
100% Corpus,60,asymmetric,0.01,0.48826876862339125
100% Corpus,60,asymmetric,0.31,0.45474815851760214
100% Corpus,60,asymmetric,0.61,0.45578875094202065
100% Corpus,60,asymmetric,0.9099999999999999,0.4549340840557275
100% Corpus,60,asymmetric,symmetric,0.4903674109979916
100% Corpus,70,0.01,0.01,0.47182268560695095
100% Corpus,70,0.01,0.31,0.45468723412103057
100% Corpus,70,0.01,0.61,0.4494041986307235
100% Corpus,70,0.01,0.9099999999999999,0.4492914334200714
100% Corpus,70,0.01,symmetric,0.46149492782019785
100% Corpus,70,0.31,0.01,0.3374334560027529
100% Corpus,70,0.31,0.31,0.49858686199947716
100% Corpus,70,0.31,0.61,0.5484606142612771
100% Corpus,70,0.31,0.9099999999999999,0.42179919478108874
100% Corpus,70,0.31,symmetric,0.33925127066651883
100% Corpus,70,0.61,0.01,0.3151865191056258
100% Corpus,70,0.61,0.31,0.3818498411241083
100% Corpus,70,0.61,0.61,0.4327004490165536
100% Corpus,70,0.61,0.9099999999999999,0.4324215660879214
100% Corpus,70,0.61,symmetric,0.3143170464076736
100% Corpus,70,0.9099999999999999,0.01,0.3018606647777621
100% Corpus,70,0.9099999999999999,0.31,0.39244604242692127
100% Corpus,70,0.9099999999999999,0.61,0.43393024976692685
100% Corpus,70,0.9099999999999999,0.9099999999999999,0.4289527717079013
100% Corpus,70,0.9099999999999999,symmetric,0.3012189032833526
100% Corpus,70,symmetric,0.01,0.48811727511832237
100% Corpus,70,symmetric,0.31,0.44207778483422505
100% Corpus,70,symmetric,0.61,0.428004968078435
100% Corpus,70,symmetric,0.9099999999999999,0.4542618532882147
100% Corpus,70,symmetric,symmetric,0.47010064982677185
100% Corpus,70,asymmetric,0.01,0.4698581724455249
100% Corpus,70,asymmetric,0.31,0.4592694734322937
100% Corpus,70,asymmetric,0.61,0.44655621210917695
100% Corpus,70,asymmetric,0.9099999999999999,0.44946415464866774
100% Corpus,70,asymmetric,symmetric,0.46641815490464417
100% Corpus,80,0.01,0.01,0.4454165796623878
100% Corpus,80,0.01,0.31,0.4834510350407138
100% Corpus,80,0.01,0.61,0.46353198281676383
100% Corpus,80,0.01,0.9099999999999999,0.44861990924454087
100% Corpus,80,0.01,symmetric,0.4611797414905032
100% Corpus,80,0.31,0.01,0.3367128764503162
100% Corpus,80,0.31,0.31,0.508295200311075
100% Corpus,80,0.31,0.61,0.4305728851177282
100% Corpus,80,0.31,0.9099999999999999,0.4228849605200155
100% Corpus,80,0.31,symmetric,0.3359109486553188
100% Corpus,80,0.61,0.01,0.31926421082898465
100% Corpus,80,0.61,0.31,0.3850893072111997
100% Corpus,80,0.61,0.61,0.42996127372698467
100% Corpus,80,0.61,0.9099999999999999,0.42049231212766613
100% Corpus,80,0.61,symmetric,0.3246120715486033
100% Corpus,80,0.9099999999999999,0.01,0.30730845962598746
100% Corpus,80,0.9099999999999999,0.31,0.39122411253470124
100% Corpus,80,0.9099999999999999,0.61,0.4380236969735952
100% Corpus,80,0.9099999999999999,0.9099999999999999,0.4211909139104784
100% Corpus,80,0.9099999999999999,symmetric,0.30723508447762765
100% Corpus,80,symmetric,0.01,0.4601457042918101
100% Corpus,80,symmetric,0.31,0.4626867589616678
100% Corpus,80,symmetric,0.61,0.48171903907723035
100% Corpus,80,symmetric,0.9099999999999999,0.4845821856255036
100% Corpus,80,symmetric,symmetric,0.4754938826212928
100% Corpus,80,asymmetric,0.01,0.47555564217626
100% Corpus,80,asymmetric,0.31,0.47870689712185255
100% Corpus,80,asymmetric,0.61,0.4681586686345618
100% Corpus,80,asymmetric,0.9099999999999999,0.4621812911190739
100% Corpus,80,asymmetric,symmetric,0.4758457739460484
100% Corpus,90,0.01,0.01,0.4535709977289466
100% Corpus,90,0.01,0.31,0.44497744393561234
100% Corpus,90,0.01,0.61,0.4414494371880018
100% Corpus,90,0.01,0.9099999999999999,0.4799600961894009
100% Corpus,90,0.01,symmetric,0.4518115224578858
100% Corpus,90,0.31,0.01,0.3412103185891928
100% Corpus,90,0.31,0.31,0.498838233812075
100% Corpus,90,0.31,0.61,0.43105694646828707
100% Corpus,90,0.31,0.9099999999999999,0.42049231212766613
100% Corpus,90,0.31,symmetric,0.3426452186558011
100% Corpus,90,0.61,0.01,0.3135033022157238
100% Corpus,90,0.61,0.31,0.38903012626336825
100% Corpus,90,0.61,0.61,0.43039438946764585
