Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,70,0.61,0.9099999999999999,0.4956656467737206
75% Corpus,70,0.61,symmetric,0.34298973779407316
75% Corpus,70,0.9099999999999999,0.01,0.34238441792850083
75% Corpus,70,0.9099999999999999,0.31,0.4608624751445913
75% Corpus,70,0.9099999999999999,0.61,0.4764334224613332
75% Corpus,70,0.9099999999999999,0.9099999999999999,0.3212297352748683
75% Corpus,70,0.9099999999999999,symmetric,0.4514322145661251
75% Corpus,70,symmetric,0.01,0.4594913526962309
75% Corpus,70,symmetric,0.31,0.44797870930979056
75% Corpus,70,symmetric,0.61,0.46878433939765013
75% Corpus,70,symmetric,0.9099999999999999,0.502608665125409
75% Corpus,70,symmetric,symmetric,0.44872699768029634
75% Corpus,70,asymmetric,0.01,0.48895095538016753
75% Corpus,70,asymmetric,0.31,0.46153365749401487
75% Corpus,70,asymmetric,0.61,0.46407190151419503
75% Corpus,70,asymmetric,0.9099999999999999,0.4694842701253011
75% Corpus,70,asymmetric,symmetric,0.491326023123897
75% Corpus,80,0.01,0.01,0.46084900255179545
75% Corpus,80,0.01,0.31,0.45670712432338173
75% Corpus,80,0.01,0.61,0.5334616815193118
75% Corpus,80,0.01,0.9099999999999999,0.4233936324034536
75% Corpus,80,0.01,symmetric,0.45159999288481456
75% Corpus,80,0.31,0.01,0.3645562072970151
75% Corpus,80,0.31,0.31,0.38752089746533264
75% Corpus,80,0.31,0.61,0.3153211934759829
75% Corpus,80,0.31,0.9099999999999999,0.38691466507180705
75% Corpus,80,0.31,symmetric,0.3628570814771787
75% Corpus,80,0.61,0.01,0.3555149537412989
75% Corpus,80,0.61,0.31,0.3774724297144586
75% Corpus,80,0.61,0.61,0.3199551849661965
75% Corpus,80,0.61,0.9099999999999999,0.3909128082684659
75% Corpus,80,0.61,symmetric,0.35512665661396
75% Corpus,80,0.9099999999999999,0.01,0.35359065890232644
75% Corpus,80,0.9099999999999999,0.31,0.3854483648752255
75% Corpus,80,0.9099999999999999,0.61,0.38190296002806534
75% Corpus,80,0.9099999999999999,0.9099999999999999,0.37534735147424586
75% Corpus,80,0.9099999999999999,symmetric,0.35098678813764506
75% Corpus,80,symmetric,0.01,0.4466021014325623
75% Corpus,80,symmetric,0.31,0.47072833907357853
75% Corpus,80,symmetric,0.61,0.5191923181837459
75% Corpus,80,symmetric,0.9099999999999999,0.4630321821118759
75% Corpus,80,symmetric,symmetric,0.4472102001443588
75% Corpus,80,asymmetric,0.01,0.4836747307358866
75% Corpus,80,asymmetric,0.31,0.47746913202499186
75% Corpus,80,asymmetric,0.61,0.454390405785
75% Corpus,80,asymmetric,0.9099999999999999,0.45159961358373657
75% Corpus,80,asymmetric,symmetric,0.48454931131827655
75% Corpus,90,0.01,0.01,0.4981821787250174
75% Corpus,90,0.01,0.31,0.4874924052399157
75% Corpus,90,0.01,0.61,0.5632718140703163
75% Corpus,90,0.01,0.9099999999999999,0.5257287778485965
75% Corpus,90,0.01,symmetric,0.4958516126091392
75% Corpus,90,0.31,0.01,0.3631408993286209
75% Corpus,90,0.31,0.31,0.3855798161790323
75% Corpus,90,0.31,0.61,0.382824232150674
75% Corpus,90,0.31,0.9099999999999999,0.36960672503077285
75% Corpus,90,0.31,symmetric,0.3629673227434601
75% Corpus,90,0.61,0.01,0.3581473581755418
75% Corpus,90,0.61,0.31,0.43049448656243544
75% Corpus,90,0.61,0.61,0.36801903336549313
75% Corpus,90,0.61,0.9099999999999999,0.4222478930848989
75% Corpus,90,0.61,symmetric,0.35786032355134867
75% Corpus,90,0.9099999999999999,0.01,0.35598336997368296
75% Corpus,90,0.9099999999999999,0.31,0.3545584214020521
75% Corpus,90,0.9099999999999999,0.61,0.34062032413935966
75% Corpus,90,0.9099999999999999,0.9099999999999999,0.33702130845376843
75% Corpus,90,0.9099999999999999,symmetric,0.3549114252181816
75% Corpus,90,symmetric,0.01,0.5162853412952519
75% Corpus,90,symmetric,0.31,0.5010984498034993
75% Corpus,90,symmetric,0.61,0.5564902681849628
75% Corpus,90,symmetric,0.9099999999999999,0.514013583786218
75% Corpus,90,symmetric,symmetric,0.5178189321363221
